# fileformat of data file is 1-based node number, nodal x-vale, nodal y-value
# force is divided by number of nodes
# 1:nodenumber 2:x_value 3:y_value
55 -0.0125 -0.004166666666667
56 -0.0125 -0.001388888888889
57 -0.0125 0.001388888888889
58 -0.0125 0.004166666666667
70 -0.009722222222222 -0.006944444444444
75 -0.009722222222222 0.006944444444444
85 -0.006944444444444 -0.009722222222222
92 -0.006944444444444 0.009722222222222
100 -0.004166666666667 -0.0125
109 -0.004166666666667 0.0125
116 -0.001388888888889 -0.0125
125 -0.001388888888889 0.0125
132 0.001388888888889 -0.0125
141 0.001388888888889 0.0125
148 0.004166666666667 -0.0125
157 0.004166666666667 0.0125
165 0.006944444444444 -0.009722222222222
172 0.006944444444444 0.009722222222222
182 0.009722222222222 -0.006944444444444
187 0.009722222222222 0.006944444444444
199 0.0125 -0.004166666666667
200 0.0125 -0.001388888888889
201 0.0125 0.001388888888889
202 0.0125 0.004166666666667
